# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Dml	ENSB:iOQmEYVF5hCHlqd	ENSB:iOQmEYVF5hCHlqd	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ENSB:--0We8zaF_uzUST	ENSB:--0We8zaF_uzUST	ENSB:--0We8zaF_uzUST	protein_coding	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2
ENSB:--G9ydi-gPLe8M7	ENSB:--G9ydi-gPLe8M7	ENSB:--G9ydi-gPLe8M7	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:-1PEkq3-DoMFss8	ENSB:-1PEkq3-DoMFss8	ENSB:-1PEkq3-DoMFss8	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:-4oe5E-7Mb0A4jk	ENSB:-4oe5E-7Mb0A4jk	ENSB:-4oe5E-7Mb0A4jk	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:-5_6TgFYjkvh-P_	ENSB:-5_6TgFYjkvh-P_	ENSB:-5_6TgFYjkvh-P_	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:-7bIxIb54rtMULj	ENSB:-7bIxIb54rtMULj	ENSB:-7bIxIb54rtMULj	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
ENSB:-8c6k0q0A32Wvw6	ENSB:-8c6k0q0A32Wvw6	ENSB:-8c6k0q0A32Wvw6	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
ENSB:-9vHGVOFtIXPiw3	ENSB:-9vHGVOFtIXPiw3	ENSB:-9vHGVOFtIXPiw3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:-BHcpCY0COZreXn	ENSB:-BHcpCY0COZreXn	ENSB:-BHcpCY0COZreXn	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
ENSB:-BZ2B6gg5fSPyeZ	ENSB:-BZ2B6gg5fSPyeZ	ENSB:-BZ2B6gg5fSPyeZ	protein_coding	0	0	2	5	0	0	0	0	4	0	2	0	0	0	0	0	0	0	1
ENSB:-E4YcORixSwRIoa	ENSB:-E4YcORixSwRIoa	ENSB:-E4YcORixSwRIoa	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:-FkqCCj8_TSAT3c	ENSB:-FkqCCj8_TSAT3c	ENSB:-FkqCCj8_TSAT3c	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:-FqJW_fLjbexuVa	ENSB:-FqJW_fLjbexuVa	ENSB:-FqJW_fLjbexuVa	protein_coding	0	0	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
ENSB:-IO1HaCJ5cLfQ-1	ENSB:-IO1HaCJ5cLfQ-1	ENSB:-IO1HaCJ5cLfQ-1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:-IplZjVdyzSoIpv	ENSB:-IplZjVdyzSoIpv	ENSB:-IplZjVdyzSoIpv	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:-JIoJFQMmROnYnv	ENSB:-JIoJFQMmROnYnv	ENSB:-JIoJFQMmROnYnv	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
ENSB:-JLyrLE5MB88udA	ENSB:-JLyrLE5MB88udA	ENSB:-JLyrLE5MB88udA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:-JT6SCLTvni8WWL	ENSB:-JT6SCLTvni8WWL	ENSB:-JT6SCLTvni8WWL	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:-JY0lE69RDqrDq3	ENSB:-JY0lE69RDqrDq3	ENSB:-JY0lE69RDqrDq3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:-LgYLtYa8JmiDoK	ENSB:-LgYLtYa8JmiDoK	ENSB:-LgYLtYa8JmiDoK	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:-NImBjID7efT1mc	ENSB:-NImBjID7efT1mc	ENSB:-NImBjID7efT1mc	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSB:-NpbYAogIJ6G1D8	ENSB:-NpbYAogIJ6G1D8	ENSB:-NpbYAogIJ6G1D8	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
ENSB:-Wm57kHi8-skmNr	ENSB:-Wm57kHi8-skmNr	ENSB:-Wm57kHi8-skmNr	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:-WyxV9LIUVrilmM	ENSB:-WyxV9LIUVrilmM	ENSB:-WyxV9LIUVrilmM	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:-a6ysImtBOPatdg	ENSB:-a6ysImtBOPatdg	ENSB:-a6ysImtBOPatdg	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:-aQQRIkX_zQICuF	ENSB:-aQQRIkX_zQICuF	ENSB:-aQQRIkX_zQICuF	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSB:-akDoNhOndwVN7G	ENSB:-akDoNhOndwVN7G	ENSB:-akDoNhOndwVN7G	protein_coding	0	0	0	24	0	0	0	0	22	0	0	0	0	0	0	0	0	0	2
ENSB:-boCNUKRnRDdctt	ENSB:-boCNUKRnRDdctt	ENSB:-boCNUKRnRDdctt	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:-d6dXdCloImwerm	ENSB:-d6dXdCloImwerm	ENSB:-d6dXdCloImwerm	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:-eAqay33wt_7Ys9	ENSB:-eAqay33wt_7Ys9	ENSB:-eAqay33wt_7Ys9	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:-iRmuN8cSol0Kk5	ENSB:-iRmuN8cSol0Kk5	ENSB:-iRmuN8cSol0Kk5	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:-jnjmLhPZtamBAL	ENSB:-jnjmLhPZtamBAL	ENSB:-jnjmLhPZtamBAL	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
ENSB:-kNROt6MJdI4VNJ	ENSB:-kNROt6MJdI4VNJ	ENSB:-kNROt6MJdI4VNJ	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:-kOxwlSiaC5Z13y	ENSB:-kOxwlSiaC5Z13y	ENSB:-kOxwlSiaC5Z13y	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:-pchxxsfTq3Qkeg	ENSB:-pchxxsfTq3Qkeg	ENSB:-pchxxsfTq3Qkeg	protein_coding	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSB:-qJ6yYLLNarDypt	ENSB:-qJ6yYLLNarDypt	ENSB:-qJ6yYLLNarDypt	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSB:-sBXOWlK5aPwbsI	ENSB:-sBXOWlK5aPwbsI	ENSB:-sBXOWlK5aPwbsI	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSB:-uGdUcVZnMg1kp2	ENSB:-uGdUcVZnMg1kp2	ENSB:-uGdUcVZnMg1kp2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSB:-w3tPPoYg1rSHXX	ENSB:-w3tPPoYg1rSHXX	ENSB:-w3tPPoYg1rSHXX	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSB:-wSEy_GrDuCAuz-	ENSB:-wSEy_GrDuCAuz-	ENSB:-wSEy_GrDuCAuz-	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
ENSB:01tBDiEZZzIm9Ts	ENSB:01tBDiEZZzIm9Ts	ENSB:01tBDiEZZzIm9Ts	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:06ry_CfSuUtGE1a	ENSB:06ry_CfSuUtGE1a	ENSB:06ry_CfSuUtGE1a	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
ENSB:0AtpVrzlbSXx2Hd	ENSB:0AtpVrzlbSXx2Hd	ENSB:0AtpVrzlbSXx2Hd	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSB:0Bxj03ATIMoGfmy	ENSB:0Bxj03ATIMoGfmy	ENSB:0Bxj03ATIMoGfmy	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:0C1_o-8mJ3ttkjx	ENSB:0C1_o-8mJ3ttkjx	ENSB:0C1_o-8mJ3ttkjx	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2
ENSB:0Ch5txgo38ObfkP	ENSB:0Ch5txgo38ObfkP	ENSB:0Ch5txgo38ObfkP	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:0DzDOWdtodGue7f	ENSB:0DzDOWdtodGue7f	ENSB:0DzDOWdtodGue7f	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:0FpQJXwLupkRQ-i	ENSB:0FpQJXwLupkRQ-i	ENSB:0FpQJXwLupkRQ-i	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:0GxH88cAjC3Lzkg	ENSB:0GxH88cAjC3Lzkg	ENSB:0GxH88cAjC3Lzkg	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSB:0Idv2rAMq1NZxJt	ENSB:0Idv2rAMq1NZxJt	ENSB:0Idv2rAMq1NZxJt	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
ENSB:0Idy2Bv-MyuEnGL	ENSB:0Idy2Bv-MyuEnGL	ENSB:0Idy2Bv-MyuEnGL	protein_coding	1	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ENSB:0J9r9i_ByB5vt1g	ENSB:0J9r9i_ByB5vt1g	ENSB:0J9r9i_ByB5vt1g	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:0JcMz87BfPpFT3d	ENSB:0JcMz87BfPpFT3d	ENSB:0JcMz87BfPpFT3d	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ENSB:0OFy4e_AxC1ynqz	ENSB:0OFy4e_AxC1ynqz	ENSB:0OFy4e_AxC1ynqz	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:0QHmhtk1wTzYyy9	ENSB:0QHmhtk1wTzYyy9	ENSB:0QHmhtk1wTzYyy9	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSB:0ROy2TNYf7QfNez	ENSB:0ROy2TNYf7QfNez	ENSB:0ROy2TNYf7QfNez	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:0TkLg23EsjUvGdV	ENSB:0TkLg23EsjUvGdV	ENSB:0TkLg23EsjUvGdV	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSB:0U4qDBHqABzJ8ry	ENSB:0U4qDBHqABzJ8ry	ENSB:0U4qDBHqABzJ8ry	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSB:0UX5DxH2WzkwNo4	ENSB:0UX5DxH2WzkwNo4	ENSB:0UX5DxH2WzkwNo4	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSB:0WXUMDgdvv8hh_e	ENSB:0WXUMDgdvv8hh_e	ENSB:0WXUMDgdvv8hh_e	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:0W_8MMyifTAcaqL	ENSB:0W_8MMyifTAcaqL	ENSB:0W_8MMyifTAcaqL	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSB:0ZTrSDEHBOsYBnw	ENSB:0ZTrSDEHBOsYBnw	ENSB:0ZTrSDEHBOsYBnw	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:0auoB8KFnndHEoc	ENSB:0auoB8KFnndHEoc	ENSB:0auoB8KFnndHEoc	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:0epCh1nkZ0z8l28	ENSB:0epCh1nkZ0z8l28	ENSB:0epCh1nkZ0z8l28	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSB:0fhzIWCLiAhPz3w	ENSB:0fhzIWCLiAhPz3w	ENSB:0fhzIWCLiAhPz3w	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
ENSB:0hRh9klqo_T4FZ3	ENSB:0hRh9klqo_T4FZ3	ENSB:0hRh9klqo_T4FZ3	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ENSB:0iQVZLEGcrUHFn9	ENSB:0iQVZLEGcrUHFn9	ENSB:0iQVZLEGcrUHFn9	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:0liHl6YEQ4jGmjO	ENSB:0liHl6YEQ4jGmjO	ENSB:0liHl6YEQ4jGmjO	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:0o6N7lUacHWp99c	ENSB:0o6N7lUacHWp99c	ENSB:0o6N7lUacHWp99c	lincRNA	0	0	0	68	0	0	0	0	3	0	0	0	0	0	0	0	0	0	65
ENSB:0oLeqBRPKuSBQvG	ENSB:0oLeqBRPKuSBQvG	ENSB:0oLeqBRPKuSBQvG	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:0oOarZokKLIolr9	ENSB:0oOarZokKLIolr9	ENSB:0oOarZokKLIolr9	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:0oYr4PH5jRSml1d	ENSB:0oYr4PH5jRSml1d	ENSB:0oYr4PH5jRSml1d	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:0otlaPb7zgcr12Q	ENSB:0otlaPb7zgcr12Q	ENSB:0otlaPb7zgcr12Q	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:0pAm192SGuK6Tw8	ENSB:0pAm192SGuK6Tw8	ENSB:0pAm192SGuK6Tw8	protein_coding	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
ENSB:0r3N9rF-D-7f-R5	ENSB:0r3N9rF-D-7f-R5	ENSB:0r3N9rF-D-7f-R5	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSB:0rOTJlMtsYRAxRe	ENSB:0rOTJlMtsYRAxRe	ENSB:0rOTJlMtsYRAxRe	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSB:0uaaoAHC1Vj6ri4	ENSB:0uaaoAHC1Vj6ri4	ENSB:0uaaoAHC1Vj6ri4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSB:0ueXAOrEsmkGyTB	ENSB:0ueXAOrEsmkGyTB	ENSB:0ueXAOrEsmkGyTB	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSB:0utKtWEfg0uxXZA	ENSB:0utKtWEfg0uxXZA	ENSB:0utKtWEfg0uxXZA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSB:0wJgWVr71bdI6Eu	ENSB:0wJgWVr71bdI6Eu	ENSB:0wJgWVr71bdI6Eu	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSB:0xo28CJoGodLemX	ENSB:0xo28CJoGodLemX	ENSB:0xo28CJoGodLemX	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ENSB:0xzM-3gABCD23C7	ENSB:0xzM-3gABCD23C7	ENSB:0xzM-3gABCD23C7	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSB:0yPjxDjE79P-tYM	ENSB:0yPjxDjE79P-tYM	ENSB:0yPjxDjE79P-tYM	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
